"Qty";"Value";"Device";"Parts";"";
"1";"0.1R";"R-EU_R2512";"R51";"";
"1";"0.005R";"R-EU_R2512";"R20";"";
"11";"0R";"R-EU_R0603";"R17, R18, R19, R21, R22, R23, R24, R25, R26, R27, R52";"";
"7";"1u";"C-EUC0805";"C7, C8, C10, C11, C13, C27, C28";"";
"1";"2k2 - 0.1%";"R-EU_R0603";"R1B8";"";
"1";"2k2 - 0.1%-";"R-EU_R0603";"R1B7";"";
"10";"4k7";"R-EU_R0603";"R2, R5, R9, R13, R43, R44, R45, R46, R47, R48";"";
"6";"10";"R-EU_0414/15";"R32, R33, R34, R35, R36, R37";"";
"14";"10k";"R-EU_R0603";"R1B5, R3, R7, R11, R15, R29, R31, R38, R39, R40, R41, R42, R49, R50";"";
"20";"10k - 0.1%";"R-EU_R0603";"R1A, R1A1, R1A2, R1A3, R1A4, R1B, R1B1, R1B2, R1B3, R1B4, R2A, R2A1, R2A2, R2A3, R2A4, R2B, R2B1, R2B2, R2B3, R2B4";"";
"2";"12CWQ03FNPBF";"12CWQ03FNPBF";"D2, D3";"";
"2";"15p";"C-EUC0603";"C21, C22";"";
"1";"27nH";"L-EUL3225P";"L7";"";
"1";"30MHz";"CRYSTALHC49U-V";"QU";"";
"1";"33k";"R-EU_R0603";"R28";"";
"1";"33k - 0.1%";"R-EU_R0603";"R1B6";"";
"1";"43k";"R-EU_R0603";"R30";"";
"1";"78L05SMD";"78L05SMD";"IC4";"";
"3";"82";"R-EU_R0603";"R4, R8, R16";"";
"17";"100n";"C-EUC0603";"C1, C2, C3, C4, C5, C23, C24, C25, C26, C29, C30, C31, C32, C33, C34, C35, C36";"";
"5";"100n";"C-EUC0805";"C6, C14, C16, C17, C18";"";
"2";"100u";"CPOL-EUD/7343-31R";"C19, C20";"";
"1";"200k - 0.1%";"R-EU_R0603";"R1B9";"";
"4";"470";"R-EU_R0603";"R1, R6, R10, R14";"";
"2";"1000u";"CPOL-EUE7.5-16";"C12, C15";"";
"1";"AVR_XMEGA_A4_44A";"AVR_XMEGA_A4_44A";"IC3";"";
"3";"BC807-25SMD";"BC807-25SMD";"Q1DL, Q2DL, Q4DL";"";
"12";"BC817-25SMD";"BC817-25SMD";"D2DD, Q1DD, Q1DH, Q2DH, Q3DD, Q4DD, Q4DH, Q7, Q8, Q9, Q10, Q11";"";
"5";"BSS84";"BSS84";"Q2, Q3, Q4, Q5, Q6";"";
"1";"BSS123";"BSS123";"Q1";"";
"1";"Balancer";"MA07-1";"SV1";"";
"4";"COILCRAFT_D333";"COILCRAFT_D333";"L1, L2, L3, L4";"";
"3";"IRLR8721";"IRLR8721";"T2, T4, T5";"";
"2";"LM324D";"LM324D";"IC1, IC2";"";
"1";"PDI";"MA03-2";"SV2";"";
"4";"SE14";"SE14";"BATT+, BATT-, SUPP+, SUPP-";"";
"2";"SUD50P04-13L";"SUD50P04-13L";"T1, T3";"";
